Velocity,Angle,Spin,Distance,Max Height,Air Time,Theoretical Distance,Trajectory
17,45,0,6.035940647125244,8.28060245513916,3.737,29.45973496432212,"[]"
30,45,0,7.03785514831543,9.313761711120605,4.037,91.74311926605505,"[]"
